"","Name","Vorname","Nachname","Geschlecht","Nationalität","Birthday","Seasons","URL","Season.x","Season.y","Season.x.x","Season.y.y","Season"
"608"," Melissa Hannawald","Melissa","Hannawald","m"," Deutschland"," 11.08.1989","  3  ","https://www.sport.de/ninja-warrior/pe705738/melissa-hannawald/","","","3","",""
"609"," Luca Hänni","Luca","Hänni","m"," Schweiz"," 08.10.1994","  3  ","https://www.sport.de/ninja-warrior/pe686608/luca-haenni/","","","3","",""
"610"," Markus Heim","Markus","Heim","m"," Deutschland"," 13.02.1997","  3  ","https://www.sport.de/ninja-warrior/pe686669/markus-heim/","","","3","",""
"611"," Heike Henkel","Heike","Henkel","w"," Deutschland"," 05.05.1964","  3  ","https://www.sport.de/ninja-warrior/pe705740/heike-henkel/","","","3","",""
"612"," Carolin Tamara Hingst","Carolin","Tamara Hingst","w"," Deutschland"," 18.09.1980","  3 4 ","https://www.sport.de/ninja-warrior/pe37283/carolin-tamara-hingst/","","","3","4",""
"613"," Justin Hirsemann","Justin","Hirsemann","m"," Deutschland"," 13.08.1989","  3  ","https://www.sport.de/ninja-warrior/pe686618/justin-hirsemann/","","","3","",""
"614"," Angelo Höfele","Angelo","Höfele","m"," Deutschland"," 09.06.1966","  3 4 ","https://www.sport.de/ninja-warrior/pe686287/angelo-hoefele/","","","3","4",""
"615"," Daniel Hofer","Daniel","Hofer","m"," Österreich"," 14.03.1992","  3  ","https://www.sport.de/ninja-warrior/pe686205/daniel-hofer/","","","3","",""
"616"," Hannes Hofer","Hannes","Hofer","m"," Italien"," 06.01.1993","  3  ","https://www.sport.de/ninja-warrior/pe686145/hannes-hofer/","","","3","",""
"617"," Jean-Tayfun Hoffmann","Jean-Tayfun","Hoffmann","m"," Deutschland"," 29.05.1995","  3  ","https://www.sport.de/ninja-warrior/pe686247/jean-tayfun-hoffmann/","","","3","",""
"618"," Juliane Hofmann","Juliane","Hofmann","w"," Deutschland"," 29.10.1988","  3  ","https://www.sport.de/ninja-warrior/pe686152/juliane-hofmann/","","","3","",""
"619"," Miriam Höller","Miriam","Höller","w"," Deutschland"," 27.06.1987","  3  ","https://www.sport.de/ninja-warrior/pe705741/miriam-hoeller/","","","3","",""
"620"," Roland Holm","Roland","Holm","m"," Deutschland"," 17.08.1987","  3  ","https://www.sport.de/ninja-warrior/pe686142/roland-holm/","","","3","",""
"621"," Daniel Holzwarth","Daniel","Holzwarth","m"," Deutschland"," 16.04.1999","  3  ","https://www.sport.de/ninja-warrior/pe686610/daniel-holzwarth/","","","3","",""
"622"," Felix Hornbostel","Felix","Hornbostel","m"," Deutschland"," 04.01.1989","  3  ","https://www.sport.de/ninja-warrior/pe686632/felix-hornbostel/","","","3","",""
"623"," Maximilian Huber","Maximilian","Huber","m"," Italien"," 04.04.1993","  3  ","https://www.sport.de/ninja-warrior/pe686168/maximilian-huber/","","","3","",""
"624"," René Inglese","René","Inglese","m"," Deutschland"," 22.04.1987","  3  ","https://www.sport.de/ninja-warrior/pe686667/rene-inglese/","","","3","",""
"625"," Dominik Innerbichler","Dominik","Innerbichler","m"," Italien"," 10.08.1992","  3  ","https://www.sport.de/ninja-warrior/pe686178/dominik-innerbichler/","","","3","",""
"626"," Ali Ismael","Ali","Ismael","m"," Deutschland"," 05.12.1989","  3  ","https://www.sport.de/ninja-warrior/pe686586/ali-ismael/","","","3","",""
"627"," Thomas Jack","Thomas","Jack","m"," Deutschland"," 09.04.1999","  3  ","https://www.sport.de/ninja-warrior/pe686605/thomas-jack/","","","3","",""
"628"," Michael Janke","Michael","Janke","m"," Deutschland"," 05.08.1989","  3  ","https://www.sport.de/ninja-warrior/pe686189/michael-janke/","","","3","",""
"629"," David Joachimstaler","David","Joachimstaler","m"," Deutschland"," 16.03.1988","  3  ","https://www.sport.de/ninja-warrior/pe686584/david-joachimstaler/","","","3","",""
"630"," Robin Jolitz","Robin","Jolitz","m"," Deutschland"," 18.09.1998","  3  ","https://www.sport.de/ninja-warrior/pe686250/robin-jolitz/","","","3","",""
"631"," Bastian Junker","Bastian","Junker","m"," Deutschland"," 19.06.1998","  3  ","https://www.sport.de/ninja-warrior/pe686616/bastian-junker/","","","3","",""
"632"," Laura Jüntschke","Laura","Jüntschke","w"," Deutschland"," 21.02.1997","  3  ","https://www.sport.de/ninja-warrior/pe686597/laura-juentschke/","","","3","",""
"633"," Milano Kaiser","Milano","Kaiser","m"," Deutschland"," 27.03.1991","  3  ","https://www.sport.de/ninja-warrior/pe686651/milano-kaiser/","","","3","",""
"634"," Christian Kalb","Christian","Kalb","m"," Deutschland"," 28.10.1992","  3  ","https://www.sport.de/ninja-warrior/pe686223/christian-kalb/","","","3","",""
"635"," Katharina Kammeyer","Katharina","Kammeyer","w"," Deutschland"," 14.08.1983","  3  ","https://www.sport.de/ninja-warrior/pe686276/katharina-kammeyer/","","","3","",""
"636"," Benjamin Karagöz","Benjamin","Karagöz","m"," Deutschland"," 17.11.1991","  3  ","https://www.sport.de/ninja-warrior/pe686623/benjamin-karagoez/","","","3","",""
"637"," Lukas Kaufmann","Lukas","Kaufmann","m"," Deutschland"," 08.06.1991","  3  5","https://www.sport.de/ninja-warrior/pe686167/lukas-kaufmann/","","","3","","5"
"638"," Maximilian Kessler","Maximilian","Kessler","m"," Deutschland"," 06.04.1989","  3  ","https://www.sport.de/ninja-warrior/pe686259/maximilian-kessler/","","","3","",""
"639"," Johannes Kilian","Johannes","Kilian","m"," Deutschland"," 16.08.1990","  3  ","https://www.sport.de/ninja-warrior/pe686589/johannes-kilian/","","","3","",""
"640"," Alexander Klaws","Alexander","Klaws","m"," Deutschland"," 03.09.1983","  3  ","https://www.sport.de/ninja-warrior/pe705720/alexander-klaws/","","","3","",""
"641"," Thomas Knab","Thomas","Knab","m"," Deutschland"," 05.06.1996","  3  ","https://www.sport.de/ninja-warrior/pe686300/thomas-knab/","","","3","",""
"642"," Sebastian Koch","Sebastian","Koch","m"," Deutschland"," 14.01.1994","  3  ","https://www.sport.de/ninja-warrior/pe686224/sebastian-koch/","","","3","",""
"643"," Christian Kofler","Christian","Kofler","m"," Deutschland"," 19.06.1994","  3  ","https://www.sport.de/ninja-warrior/pe686666/christian-kofler/","","","3","",""
"644"," Sabrina Kolb","Sabrina","Kolb","w"," Deutschland"," 14.05.1979","  3  ","https://www.sport.de/ninja-warrior/pe686243/sabrina-kolb/","","","3","",""
"645"," Chris Konushevci","Chris","Konushevci","m"," Deutschland"," 12.09.1996","  3  ","https://www.sport.de/ninja-warrior/pe686646/chris-konushevci/","","","3","",""
"646"," Pascal Koronowski","Pascal","Koronowski","m"," Deutschland"," 24.01.1988","  3  5","https://www.sport.de/ninja-warrior/pe686644/pascal-koronowski/","","","3","","5"
"647"," Kevin Köster","Kevin","Köster","m"," Deutschland"," 15.11.1992","  3  ","https://www.sport.de/ninja-warrior/pe686220/kevin-koester/","","","3","",""
"648"," Tim Kramer","Tim","Kramer","m"," Deutschland"," 09.02.2000","  3  5","https://www.sport.de/ninja-warrior/pe686209/tim-kramer/","","","3","","5"
"649"," Xhemë Krasniqi","Xhemë","Krasniqi","m"," Albanien"," 04.08.1991","  3  5","https://www.sport.de/ninja-warrior/pe686219/xheme-krasniqi/","","","3","","5"
"650"," Christine Kring","Christine","Kring","w"," Deutschland"," 28.01.1989","  3  ","https://www.sport.de/ninja-warrior/pe686662/christine-kring/","","","3","",""
"651"," Patrick Krön","Patrick","Krön","m"," Deutschland"," 14.01.1987","  3  ","https://www.sport.de/ninja-warrior/pe686626/patrick-kroen/","","","3","",""
"652"," Alexander Kukla","Alexander","Kukla","m"," Deutschland"," 24.07.1993","  3  ","https://www.sport.de/ninja-warrior/pe686138/alexander-kukla/","","","3","",""
"653"," Benjamin Kummer","Benjamin","Kummer","m"," Schweiz"," 08.03.1978","  3  ","https://www.sport.de/ninja-warrior/pe686642/benjamin-kummer/","","","3","",""
"654"," Stefan Kuntnawitz","Stefan","Kuntnawitz","m"," Deutschland"," 26.04.1984","  3  ","https://www.sport.de/ninja-warrior/pe686174/stefan-kuntnawitz/","","","3","",""
"655"," Benjamin Lauckner","Benjamin","Lauckner","m"," Deutschland"," 03.04.1987","  3  ","https://www.sport.de/ninja-warrior/pe686173/benjamin-lauckner/","","","3","",""
"656"," Leon Layer","Leon","Layer","m"," Deutschland"," 23.04.1999","  3  ","https://www.sport.de/ninja-warrior/pe686298/leon-layer/","","","3","",""
"657"," Mahdi Limper","Mahdi","Limper","m"," Deutschland"," 01.01.1999","  3 4 5","https://www.sport.de/ninja-warrior/pe686146/mahdi-limper/","","","3","4","5"
"658"," Julian Locher","Julian","Locher","m"," Deutschland"," 04.11.1994","  3  ","https://www.sport.de/ninja-warrior/pe686647/julian-locher/","","","3","",""
"659"," Heiko Lochmann","Heiko","Lochmann","m"," Deutschland"," 13.05.1999","  3  ","https://www.sport.de/ninja-warrior/pe705744/heiko-lochmann/","","","3","",""
"660"," Roman Lochmann","Roman","Lochmann","m"," Deutschland"," 13.05.1999","  3  ","https://www.sport.de/ninja-warrior/pe705723/roman-lochmann/","","","3","",""
"661"," Sarah Lombardi","Sarah","Lombardi","w"," Deutschland"," 15.10.1992","  3  ","https://www.sport.de/ninja-warrior/pe705739/sarah-lombardi/","","","3","",""
"662"," Marion Luck","Marion","Luck","w"," Deutschland"," 17.03.1991","  3 4 ","https://www.sport.de/ninja-warrior/pe686215/marion-luck/","","","3","4",""
"663"," Peer Lück","Peer","Lück","m"," Deutschland"," 12.07.1998","  3  ","https://www.sport.de/ninja-warrior/pe686270/peer-lueck/","","","3","",""
"664"," Evelyn Ludwig","Evelyn","Ludwig","w"," Deutschland"," 21.04.1991","  3  ","https://www.sport.de/ninja-warrior/pe686278/evelyn-ludwig/","","","3","",""
"665"," Martin Maciejewski","Martin","Maciejewski","m"," Deutschland"," 15.10.1990","  3  ","https://www.sport.de/ninja-warrior/pe686175/martin-maciejewski/","","","3","",""
"666"," Kim Marschner","Kim","Marschner","w"," Deutschland"," 28.01.1998","  3 4 5","https://www.sport.de/ninja-warrior/pe686213/kim-marschner/","","","3","4","5"
"667"," Jermaine Martin","Jermaine","Martin","m"," Deutschland"," 29.08.1978","  3  ","https://www.sport.de/ninja-warrior/pe686294/jermaine-martin/","","","3","",""
"668"," Joel Mattli","Joel","Mattli","m"," Schweiz"," 24.04.1994","  3 4 5","https://www.sport.de/ninja-warrior/pe686179/joel-mattli/","","","3","4","5"
"669"," Grant McCartney","Grant","McCartney","m"," USA"," 13.05.1988","  3  ","https://www.sport.de/ninja-warrior/pe705725/grant-mccartney/","","","3","",""
"670"," Yoni Meergarten","Yoni","Meergarten","w"," Deutschland"," 03.04.1984","  3 4 ","https://www.sport.de/ninja-warrior/pe686181/yoni-meergarten/","","","3","4",""
"671"," Eduard Mehlmann","Eduard","Mehlmann","m"," Deutschland"," 14.12.1996","  3  ","https://www.sport.de/ninja-warrior/pe686180/eduard-mehlmann/","","","3","",""
"672"," Anatoli Melnikov","Anatoli","Melnikov","m"," Deutschland"," 10.01.1994","  3  ","https://www.sport.de/ninja-warrior/pe686673/anatoli-melnikov/","","","3","",""
"673"," Marcel Meyer","Marcel","Meyer","m"," Deutschland"," 27.07.1987","  3  ","https://www.sport.de/ninja-warrior/pe686069/marcel-meyer/","","","3","",""
"674"," Paula Mickert","Paula","Mickert","w"," Deutschland"," 12.09.1995","  3 4 ","https://www.sport.de/ninja-warrior/pe686186/paula-mickert/","","","3","4",""
"675"," Finn Mottel","Finn","Mottel","m"," Deutschland"," 19.06.1997","  3  ","https://www.sport.de/ninja-warrior/pe686249/finn-mottel/","","","3","",""
"676"," Ali Moussa","Ali","Moussa","m"," Deutschland"," 30.07.1982","  3 4 5","https://www.sport.de/ninja-warrior/pe686263/ali-moussa/","","","3","4","5"
"677"," Bea Müller","Bea","Müller","w"," Deutschland"," 06.01.1991","  3  ","https://www.sport.de/ninja-warrior/pe686635/bea-mueller/","","","3","",""
"678"," Clemens Müller","Clemens","Müller","m"," Deutschland"," 27.06.1967","  3  ","https://www.sport.de/ninja-warrior/pe686192/clemens-mueller/","","","3","",""
"679"," Kai Müller","Kai","Müller","m"," Deutschland"," 10.05.1978","  3  ","https://www.sport.de/ninja-warrior/pe686246/kai-mueller/","","","3","",""
"680"," Judith Münter","Judith","Münter","w"," Deutschland"," 01.07.1990","  3  ","https://www.sport.de/ninja-warrior/pe686239/judith-muenter/","","","3","",""
"681"," André Naumann","André","Naumann","m"," Deutschland"," 29.07.1997","  3  ","https://www.sport.de/ninja-warrior/pe686204/andre-naumann/","","","3","",""
"682"," Alicia Neumann","Alicia","Neumann","w"," Deutschland"," 17.10.1999","  3  ","https://www.sport.de/ninja-warrior/pe686183/alicia-neumann/","","","3","",""
"683"," Vanessa Neumann","Vanessa","Neumann","w"," Deutschland"," 04.01.1990","  3  ","https://www.sport.de/ninja-warrior/pe686674/vanessa-neumann/","","","3","",""
"684"," Julius Nilsson","Julius","Nilsson","m"," Deutschland"," 14.11.1994","  3  ","https://www.sport.de/ninja-warrior/pe686658/julius-nilsson/","","","3","",""
"685"," Markus Obendorfer","Markus","Obendorfer","m"," Österreich"," 14.07.1977","  3  ","https://www.sport.de/ninja-warrior/pe686670/markus-obendorfer/","","","3","",""
"686"," Manuel Osswald","Manuel","Osswald","m"," Deutschland"," 16.04.1983","  3  ","https://www.sport.de/ninja-warrior/pe686620/manuel-osswald/","","","3","",""
"687"," Jozef Pachinger","Jozef","Pachinger","m"," Deutschland"," 09.07.1991","  3  ","https://www.sport.de/ninja-warrior/pe686398/jozef-pachinger/","","","3","",""
"688"," Gabriel Pediconi","Gabriel","Pediconi","m"," Deutschland"," 05.02.1976","  3 4 5","https://www.sport.de/ninja-warrior/pe686588/gabriel-pediconi/","","","3","4","5"
"689"," Andreas Pichl","Andreas","Pichl","m"," Deutschland"," 01.06.1986","  3  ","https://www.sport.de/ninja-warrior/pe686613/andreas-pichl/","","","3","",""
"690"," Michael Pieper","Michael","Pieper","m"," Deutschland"," 20.11.1960","  3  ","https://www.sport.de/ninja-warrior/pe686604/michael-pieper/","","","3","",""
"691"," Francis Poku","Francis","Poku","m"," Deutschland"," 31.07.1987","  3  ","https://www.sport.de/ninja-warrior/pe686665/francis-poku/","","","3","",""
"692"," Günter Portale","Günter","Portale","m"," Deutschland"," 18.06.1950","  3  ","https://www.sport.de/ninja-warrior/pe686251/guenter-portale/","","","3","",""
"693"," Marie Prüßing","Marie","Prüßing","w"," Deutschland"," 09.11.1993","  3  ","https://www.sport.de/ninja-warrior/pe686280/marie-pruessing/","","","3","",""
"694"," Simone Pyrdok","Simone","Pyrdok","w"," Deutschland"," 20.11.1987","  3  ","https://www.sport.de/ninja-warrior/pe686661/simone-pyrdok/","","","3","",""
"695"," Clara Quintero","Clara","Quintero","w"," Deutschland"," 15.04.1995","  3  ","https://www.sport.de/ninja-warrior/pe686157/clara-quintero/","","","3","",""
"696"," Christian Range","Christian","Range","m"," Deutschland"," 19.03.2000","  3  5","https://www.sport.de/ninja-warrior/pe686301/christian-range/","","","3","","5"
"697"," Benjamin Reichmann","Benjamin","Reichmann","m"," Deutschland"," 04.05.1986","  3 4 ","https://www.sport.de/ninja-warrior/pe686269/benjamin-reichmann/","","","3","4",""
"698"," Kyra Reinert","Kyra","Reinert","w"," Deutschland"," 11.04.1997","  3  ","https://www.sport.de/ninja-warrior/pe686675/kyra-reinert/","","","3","",""
"699"," Matthias Reins","Matthias","Reins","m"," Deutschland"," 31.01.1988","  3  ","https://www.sport.de/ninja-warrior/pe686664/matthias-reins/","","","3","",""
"700"," David Reis","David","Reis","m"," Deutschland"," 23.06.1986","  3  ","https://www.sport.de/ninja-warrior/pe686653/david-reis/","","","3","",""
"701"," Marcel Remus","Marcel","Remus","m"," Deutschland"," 03.10.1986","  3  ","https://www.sport.de/ninja-warrior/pe686587/marcel-remus/","","","3","",""
"702"," Shariq Reza","Shariq","Reza","m"," Österreich"," 26.02.1987","  3  ","https://www.sport.de/ninja-warrior/pe686663/shariq-reza/","","","3","",""
"703"," Pascal Ricken","Pascal","Ricken","m"," Deutschland"," 14.12.1988","  3  ","https://www.sport.de/ninja-warrior/pe686291/pascal-ricken/","","","3","",""
"704"," Thomas Rindisbacher","Thomas","Rindisbacher","m"," Schweiz"," 23.10.1979","  3  ","https://www.sport.de/ninja-warrior/pe686640/thomas-rindisbacher/","","","3","",""
"705"," Tiffany Ritter","Tiffany","Ritter","w"," Deutschland"," 01.08.1996","  3  ","https://www.sport.de/ninja-warrior/pe686659/tiffany-ritter/","","","3","",""
"706"," Steve Rockstroh","Steve","Rockstroh","m"," Deutschland"," 07.03.1987","  3  ","https://www.sport.de/ninja-warrior/pe686229/steve-rockstroh/","","","3","",""
"707"," Jennifer Rohde","Jennifer","Rohde","w"," Deutschland"," 28.11.1984","  3  ","https://www.sport.de/ninja-warrior/pe686594/jennifer-rohde/","","","3","",""
"708"," Sonja Röhe","Sonja","Röhe","w"," Deutschland"," 06.08.1997","  3  ","https://www.sport.de/ninja-warrior/pe686676/sonja-roehe/","","","3","",""
"709"," Jacek Romanowski","Jacek","Romanowski","m"," Deutschland"," 19.07.1984","  3  ","https://www.sport.de/ninja-warrior/pe686274/jacek-romanowski/","","","3","",""
"710"," Alexander Rončević","Alexander","Rončević","m"," Österreich"," 06.08.1992","  3  ","https://www.sport.de/ninja-warrior/pe686650/alexander-roncevic/","","","3","",""
"711"," Marcel Rudkowski","Marcel","Rudkowski","m"," Deutschland"," 27.11.1991","  3  ","https://www.sport.de/ninja-warrior/pe686218/marcel-rudkowski/","","","3","",""
"712"," Laura Schäfer","Laura","Schäfer","w"," Deutschland"," 10.12.1993","  3  ","https://www.sport.de/ninja-warrior/pe686599/laura-schaefer/","","","3","",""
"713"," Jan Schaff","Jan","Schaff","m"," Deutschland"," 29.03.2000","  3  ","https://www.sport.de/ninja-warrior/pe686629/jan-schaff/","","","3","",""
"714"," Brix Schaumburg","Brix","Schaumburg","d"," Deutschland"," 30.01.1990","  3  ","https://www.sport.de/ninja-warrior/pe686630/brix-schaumburg/","","","3","",""
"715"," Nadja Schenkel","Nadja","Schenkel","w"," Deutschland"," 23.08.1996","  3  ","https://www.sport.de/ninja-warrior/pe686596/nadja-schenkel/","","","3","",""
"716"," Mirco Scherrer","Mirco","Scherrer","m"," Schweiz"," 28.08.1991","  3  ","https://www.sport.de/ninja-warrior/pe686614/mirco-scherrer/","","","3","",""
"717"," Milan Schirowski","Milan","Schirowski","m"," Deutschland"," 12.09.1989","  3 4 5","https://www.sport.de/ninja-warrior/pe686625/milan-schirowski/","","","3","4","5"
"718"," Benedikt Schmid","Benedikt","Schmid","m"," Deutschland"," 01.04.1993","  3  ","https://www.sport.de/ninja-warrior/pe686657/benedikt-schmid/","","","3","",""
"719"," Jakob Schmid","Jakob","Schmid","m"," Deutschland"," 26.11.1996","  3  ","https://www.sport.de/ninja-warrior/pe686656/jakob-schmid/","","","3","",""
"720"," Christian Schmidt","Christian","Schmidt","m"," Deutschland"," 03.01.1988","  3  ","https://www.sport.de/ninja-warrior/pe686593/christian-schmidt/","","","3","",""
"721"," Miriam Schmidt","Miriam","Schmidt","w"," Deutschland"," 19.01.1987","  3 4 5","https://www.sport.de/ninja-warrior/pe686187/miriam-schmidt/","","","3","4","5"
"722"," Sabrina Schnell","Sabrina","Schnell","w"," Deutschland"," 28.04.2000","  3  ","https://www.sport.de/ninja-warrior/pe686598/sabrina-schnell/","","","3","",""
"723"," Thomas Schörghofer","Thomas","Schörghofer","m"," Österreich"," 29.01.1997","  3  ","https://www.sport.de/ninja-warrior/pe686232/thomas-schoerghofer/","","","3","",""
"724"," Sebastian Schuler","Sebastian","Schuler","m"," Deutschland"," 08.04.1991","  3  ","https://www.sport.de/ninja-warrior/pe686290/sebastian-schuler/","","","3","",""
"725"," Thomas Schuth","Thomas","Schuth","m"," Deutschland"," 03.10.1980","  3  ","https://www.sport.de/ninja-warrior/pe686254/thomas-schuth/","","","3","",""
"726"," Norbert Schwarz","Norbert","Schwarz","m"," Deutschland"," 19.10.1985","  3 4 5","https://www.sport.de/ninja-warrior/pe686194/norbert-schwarz/","","","3","4","5"
"727"," Luna Schweiger","Luna","Schweiger","w"," Deutschland"," 11.01.1997","  3  ","https://www.sport.de/ninja-warrior/pe705743/luna-schweiger/","","","3","",""
"728"," Timo Seifried","Timo","Seifried","m"," Deutschland"," 16.09.1992","  3  5","https://www.sport.de/ninja-warrior/pe686293/timo-seifried/","","","3","","5"
"729"," Clara Siebel","Clara","Siebel","w"," Deutschland"," 15.04.1998","  3  ","https://www.sport.de/ninja-warrior/pe686214/clara-siebel/","","","3","",""
"730"," Michael Siegmund","Michael","Siegmund","m"," Deutschland"," 27.10.1980","  3 4 5","https://www.sport.de/ninja-warrior/pe686668/michael-siegmund/","","","3","4","5"
"731"," Simon Sielemann","Simon","Sielemann","m"," Deutschland"," 15.04.1997","  3  ","https://www.sport.de/ninja-warrior/pe686295/simon-sielemann/","","","3","",""
"732"," Benedikt Sigmund","Benedikt","Sigmund","m"," Deutschland"," 25.07.1983","  3 4 ","https://www.sport.de/ninja-warrior/pe686289/benedikt-sigmund/","","","3","4",""
"733"," Gino Sigmund","Gino","Sigmund","m"," Deutschland"," 03.02.1977","  3  ","https://www.sport.de/ninja-warrior/pe686144/gino-sigmund/","","","3","",""
"734"," Christopher Sloan","Christopher","Sloan","m"," Deutschland"," 28.09.1989","  3  ","https://www.sport.de/ninja-warrior/pe686285/christopher-sloan/","","","3","",""
"735"," Silke Sollfrank","Silke","Sollfrank","w"," Deutschland"," 10.06.1997","  3  ","https://www.sport.de/ninja-warrior/pe686156/silke-sollfrank/","","","3","",""
"736"," Vassilij Sosunov","Vassilij","Sosunov","m"," Deutschland"," 04.12.1993","  3  ","https://www.sport.de/ninja-warrior/pe686258/vassilij-sosunov/","","","3","",""
"737"," Brendan Sperlich","Brendan","Sperlich","m"," Deutschland"," 16.04.2000","  3  ","https://www.sport.de/ninja-warrior/pe686222/brendan-sperlich/","","","3","",""
"738"," Siegfried Sperlich","Siegfried","Sperlich","m"," Deutschland"," 18.08.1989","  3 4 5","https://www.sport.de/ninja-warrior/pe686652/siegfried-sperlich/","","","3","4","5"
"739"," Tim Speth","Tim","Speth","m"," Deutschland"," 13.05.1995","  3  ","https://www.sport.de/ninja-warrior/pe686196/tim-speth/","","","3","",""
"740"," Michael Spingler","Michael","Spingler","m"," Deutschland"," 27.12.1995","  3  ","https://www.sport.de/ninja-warrior/pe686302/michael-spingler/","","","3","",""
"741"," Vito Stefanutti","Vito","Stefanutti","m"," Deutschland"," 18.12.1999","  3  ","https://www.sport.de/ninja-warrior/pe686228/vito-stefanutti/","","","3","",""
"742"," Christoph Steinmaier","Christoph","Steinmaier","m"," Deutschland"," 23.11.1996","  3  ","https://www.sport.de/ninja-warrior/pe686172/christoph-steinmaier/","","","3","",""
"743"," Fabio Sterrantino","Fabio","Sterrantino","m"," Deutschland"," 28.06.1996","  3  ","https://www.sport.de/ninja-warrior/pe686257/fabio-sterrantino/","","","3","",""
"744"," Julia Stockmann","Julia","Stockmann","w"," Deutschland"," 10.04.1992","  3  ","https://www.sport.de/ninja-warrior/pe686242/julia-stockmann/","","","3","",""
"745"," Mathieu Sychla","Mathieu","Sychla","m"," Deutschland"," 07.09.1980","  3  ","https://www.sport.de/ninja-warrior/pe686627/mathieu-sychla/","","","3","",""
"746"," Mike Szech","Mike","Szech","m"," Deutschland"," 20.05.1998","  3  ","https://www.sport.de/ninja-warrior/pe686231/mike-szech/","","","3","",""
"747"," Fabian Täger","Fabian","Täger","m"," Deutschland"," 08.01.1986","  3  ","https://www.sport.de/ninja-warrior/pe686190/fabian-taeger/","","","3","",""
"748"," Jan Täger","Jan","Täger","m"," Deutschland"," 08.01.1986","  3  ","https://www.sport.de/ninja-warrior/pe686191/jan-taeger/","","","3","",""
"749"," Fabrice Tambwe","Fabrice","Tambwe","m"," Deutschland"," 15.09.1992","  3  ","https://www.sport.de/ninja-warrior/pe686170/fabrice-tambwe/","","","3","",""
"750"," Vanessa Thomae","Vanessa","Thomae","w"," Deutschland"," 29.06.1997","  3  ","https://www.sport.de/ninja-warrior/pe686240/vanessa-thomae/","","","3","",""
"751"," Alex Thomas","Alex","Thomas","m"," Deutschland"," 16.12.1998","  3  ","https://www.sport.de/ninja-warrior/pe686210/alex-thomas/","","","3","",""
"752"," Lukas Tietze","Lukas","Tietze","m"," Deutschland"," 25.11.1996","  3  ","https://www.sport.de/ninja-warrior/pe686140/lukas-tietze/","","","3","",""
"753"," Gabriel Tille","Gabriel","Tille","m"," Deutschland"," 02.09.1997","  3  ","https://www.sport.de/ninja-warrior/pe686260/gabriel-tille/","","","3","",""
"754"," Melanie Tischler","Melanie","Tischler","w"," Österreich"," 10.01.1997","  3  ","https://www.sport.de/ninja-warrior/pe686277/melanie-tischler/","","","3","",""
"755"," Mark Toller","Mark","Toller","m"," Österreich"," 25.05.1995","  3  ","https://www.sport.de/ninja-warrior/pe686649/mark-toller/","","","3","",""
"756"," Domenico Tonini","Domenico","Tonini","m"," Deutschland"," 21.06.1996","  3  ","https://www.sport.de/ninja-warrior/pe686230/domenico-tonini/","","","3","",""
"757"," Osman Umur","Osman","Umur","m"," Deutschland"," 24.10.1992","  3  ","https://www.sport.de/ninja-warrior/pe686639/osman-umur/","","","3","",""
"758"," Bodo Vopel","Bodo","Vopel","m"," Deutschland"," 27.08.1982","  3  ","https://www.sport.de/ninja-warrior/pe686648/bodo-vopel/","","","3","",""
"759"," Michael Wachter","Michael","Wachter","m"," Deutschland"," 17.08.1988","  3  ","https://www.sport.de/ninja-warrior/pe686645/michael-wachter/","","","3","",""
"760"," Cindy Wagner","Cindy","Wagner","w"," Deutschland"," 15.02.1995","  3 4 ","https://www.sport.de/ninja-warrior/pe686601/cindy-wagner/","","","3","4",""
"761"," Jasmin Wagner","Jasmin","Wagner","w"," Deutschland"," 20.04.1980","  3 4 ","https://www.sport.de/ninja-warrior/pe705733/jasmin-wagner/","","","3","4",""
"762"," Pia Wagner","Pia","Wagner","w"," Deutschland"," 11.01.1990","  3  ","https://www.sport.de/ninja-warrior/pe686637/pia-wagner/","","","3","",""
"763"," Jan-Hauke Waibl","Jan-Hauke","Waibl","m"," Deutschland"," 13.03.1986","  3  ","https://www.sport.de/ninja-warrior/pe686273/jan-hauke-waibl/","","","3","",""
"764"," Wolfgang Wallner","Wolfgang","Wallner","m"," Österreich"," 27.10.1982","  3  ","https://www.sport.de/ninja-warrior/pe686221/wolfgang-wallner/","","","3","",""
"765"," Melina Wassertheurer","Melina","Wassertheurer","w"," Österreich"," 31.07.1996","  3  ","https://www.sport.de/ninja-warrior/pe686188/melina-wassertheurer/","","","3","",""
"766"," Sven Weber","Sven","Weber","m"," Deutschland"," 01.06.1983","  3  ","https://www.sport.de/ninja-warrior/pe686275/sven-weber/","","","3","",""
"767"," Florian Wedekink","Florian","Wedekink","m"," Deutschland"," 04.05.1989","  3  ","https://www.sport.de/ninja-warrior/pe686193/florian-wedekink/","","","3","",""
"768"," Marina Wedemeyer","Marina","Wedemeyer","w"," Deutschland"," 17.09.1985","  3  ","https://www.sport.de/ninja-warrior/pe686600/marina-wedemeyer/","","","3","",""
"769"," Philipp Wehringer","Philipp","Wehringer","m"," Deutschland"," 02.03.1990","  3  ","https://www.sport.de/ninja-warrior/pe686227/philipp-wehringer/","","","3","",""
"770"," Viola Weiermüller","Viola","Weiermüller","w"," Deutschland"," 21.10.1967","  3 4 5","https://www.sport.de/ninja-warrior/pe686155/viola-weiermueller/","","","3","4","5"
